TID,POST,LABEL
250,@triniteddybear thank you  have an awesome week.,1
95,the of end the new JONAS was amazing... aw :'( yep dats a tear. (kinda not really). @ItsChelseaStaub you were awesome.. nice spit take,1
554,"@rhyzome the blog is pretty lame, but the story of the unreleased bike seat as a tip was awesome ",1
766,"""Tweeting for Fun, Cruise, Vibes and Insha Allah... #IghaloFC Stan account #Bridget Bema Stan Account \ud83d\ude47\ud83c\udffe\u200d\u2642\ufe0f\ud83d\ude47\ud83c\udffe\u200d\u2642\ufe0f"", ",1
617,finds it interesting that a Vespa counts as a motorcycle in Maryland and Florida  AWESOME!!!!,1
600,Post europe depression has never been worse. I am fucking shaking in sadness and a depressed mind,0
94,"I told a male colleague I'd had post-partum depression and he said nah, all the women he knew ""were really emotional"" after childbirth. (me: ""omg, you're mansplaining!"" him: ""I'm not, that's different."")  https://twitter.com/itsPKav/status/1289569793427640320 …",0
219,@MandyyJirouxx AHAH.  i'll never forget the video. the anna rose did you EYES. awesome. !,1
995,Amo summer depression,0
340,"I was remembering when my teen sister started having depression issues, my mom was the ""perk up"" type and took too long to recognize what it was. I'm 14 yrs older and had a psych degree so knew better.",0
230,@Drewffc I'm awesome. I always suspected.,1
347,@DecayingWaste happy birthday dudeee,1
10,Son bikaç haftadır her yerde sıramı kaptırıyorum ama sinirlenmiyorum. Ülkeye bak self anti-depression skilli kazandırdı resmen ahahahha,0
463,"The #COVID19 pandemic led to higher levels of #depression, anxiety, suicidal tendencies and #psychological trauma among American adults during the early months of its spread.  https://bit.ly/31eQAqd  pic.twitter.com/X1a5TK8dqB",0
409,@sosadtoday I have crippling depression *road chair*,0
855,Okay so he was mentally-ill in 2011 said that now I’m okay what I did in past it was because of depression now I’m only Simple human being not a Messiah. Then he left for US and start preaching that I’m prophet and Messiah. So the young boy was trying to confirm that he is or not,0
633,@TheFatBoys how awesome that you want to help!  i've told ppl around my work and am collecting more and more to drop off @ my concert!,1
926,I have been mad suicidal lately my bf called the cops on me and I had to go to the psych ward for a few hrs but I managed to talk my way out. Feeling defeated #mentalhealth #mentalillness #depression  pic.twitter.com/mlVhwHBhvX,0
634,@tw33tiebyrd I'm so happy I got 0.5cc's of liquid gold pumped tonight! It'll just keep flowing more now hopefully helping her get strong.,1
480,"Despite my random lack of energy, I am *really* happy right now ",1
108,Is ka koi hal hy hi nahi.. depression and then sleep .. koi cheez motivate nahi kar rahi ajkal,0
299,"@allevin18 Sadly, I feel a lot of deeply depressed souls have developed an incredible way of masking their depression to the world, in fear of being wrongly judged.",0
